+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM   |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+---------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| 3998  | 0   | 3996 | 0   | 2   | 0   | GET    | /api/announcements                                                                            | 0.004 | 5.000 | 964.004 | 0.241 | 0.600 | 1.024 | 2.312 | 0.450  | 400.000     | 4306.000    | 13473241.000 | 3369.995    |
| 1216  | 0   | 1215 | 0   | 1   | 0   | GET    | /api/courses                                                                                  | 0.000 | 2.996 | 297.868 | 0.245 | 0.616 | 1.104 | 2.360 | 0.432  | 3.000       | 7948.000    | 4641602.000  | 3817.107    |
| 598   | 0   | 595  | 0   | 3   | 0   | POST   | /api/announcements                                                                            | 0.004 | 4.088 | 170.484 | 0.285 | 0.768 | 1.144 | 1.888 | 0.414  | 0.000       | 23.000      | 60.000       | 0.100       |
| 399   | 0   | 397  | 0   | 2   | 0   | PUT    | /api/users/me/courses                                                                         | 0.004 | 4.352 | 122.116 | 0.306 | 0.700 | 1.044 | 3.300 | 0.496  | 0.000       | 246.000     | 268.000      | 0.672       |
| 416   | 0   | 414  | 0   | 2   | 0   | GET    | /api/users/me                                                                                 | 0.004 | 5.000 | 104.944 | 0.252 | 0.680 | 1.184 | 3.156 | 0.561  | 54.000      | 64.000      | 23552.000    | 56.615      |
| 396   | 0   | 394  | 0   | 2   | 0   | GET    | /api/users/me/courses                                                                         | 0.004 | 5.000 | 103.060 | 0.260 | 0.540 | 0.876 | 3.044 | 0.514  | 2601.000    | 2754.000    | 772019.000   | 1949.543    |
| 368   | 0   | 363  | 0   | 5   | 0   | POST   | /api/courses                                                                                  | 0.004 | 3.612 | 79.128  | 0.215 | 0.560 | 0.776 | 2.196 | 0.418  | 20.000      | 43.000      | 13196.000    | 35.859      |
| 241   | 0   | 241  | 0   | 0   | 0   | GET    | /api/courses/01HFN5NBZ3J4P9T1KX35ZGT1VQ/classes                                               | 0.004 | 3.356 | 68.940  | 0.286 | 0.752 | 1.056 | 3.112 | 0.497  | 215.000     | 1419.000    | 189437.000   | 786.046     |
| 246   | 0   | 246  | 0   | 0   | 0   | GET    | /api/courses/01HFN5NBZ88818YN6RAZ9SMW3D/classes                                               | 0.004 | 3.192 | 63.944  | 0.260 | 0.568 | 0.824 | 2.652 | 0.491  | 445.000     | 1750.000    | 254399.000   | 1034.142    |
