+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| 6604  | 0   | 6548 | 0   | 56  | 0   | GET    | /api/announcements                                                                            | 0.004 | 5.004 | 1986.469 | 0.301 | 0.728 | 1.076 | 2.156 | 0.443  | 749.000     | 4223.000    | 22345153.000 | 3383.579    |
| 118   | 0   | 30   | 0   | 88  | 0   | GET    | /api/users/me/grades                                                                          | 0.176 | 5.004 | 433.729  | 3.676 | 5.004 | 5.004 | 5.004 | 2.173  | 27389.000   | 28694.000   | 436331.000   | 3697.720    |
| 1775  | 0   | 1748 | 0   | 27  | 0   | GET    | /api/courses                                                                                  | 0.000 | 2.908 | 259.112  | 0.146 | 0.360 | 0.544 | 1.180 | 0.241  | 3.000       | 7900.000    | 6140331.000  | 3459.341    |
| 959   | 0   | 948  | 0   | 11  | 0   | POST   | /api/announcements                                                                            | 0.008 | 5.000 | 215.136  | 0.224 | 0.516 | 0.936 | 2.304 | 0.463  | 0.000       | 23.000      | 120.000      | 0.125       |
| 556   | 0   | 545  | 0   | 11  | 0   | PUT    | /api/users/me/courses                                                                         | 0.008 | 3.536 | 98.224   | 0.177 | 0.360 | 0.528 | 1.348 | 0.287  | 0.000       | 246.000     | 536.000      | 0.964       |
| 554   | 0   | 547  | 0   | 7   | 0   | GET    | /api/users/me/courses                                                                         | 0.004 | 2.724 | 94.412   | 0.170 | 0.364 | 0.592 | 1.956 | 0.300  | 3.000       | 2770.000    | 994056.000   | 1794.325    |
| 522   | 0   | 508  | 0   | 14  | 0   | POST   | /api/courses                                                                                  | 0.004 | 2.520 | 68.156   | 0.131 | 0.276 | 0.568 | 1.764 | 0.314  | 20.000      | 43.000      | 18544.000    | 35.525      |
| 607   | 0   | 602  | 0   | 5   | 0   | GET    | /api/users/me                                                                                 | 0.004 | 1.952 | 60.496   | 0.100 | 0.224 | 0.388 | 1.212 | 0.233  | 22.000      | 64.000      | 34188.000    | 56.323      |
| 247   | 0   | 247  | 0   | 0   | 0   | GET    | /api/courses/01HFNB4M9BXABQC24CZ5ZVG2HR/classes                                               | 0.004 | 3.004 | 58.332   | 0.236 | 0.648 | 1.028 | 1.976 | 0.378  | 240.000     | 1313.000    | 191590.000   | 775.668     |
